label,tweet
0,"['tackle', 'food', 'waste', 'blockchain', 'offer', 'solution', 'write', 'by', '6135brittreducing', 'food', 'waste', 'wonderful']"
0,"['potato', 'cheese', 'ball', 'playtoearn', 'pakistanzindabad', 'pakistan', 'cooking', 'food', 'foodie']"
0,"['agtwitter', 'harvest21', 'meat', 'beef', 'pork', 'food', 'farm']"
0,"['take', 'one', 'know', 'one', 'cheesy', 'vegan', 'via', 'theorganicview']"
0,"['bake', 'spaghetti', 'meatball']"
0,"['einfach', 'nur', 'f', 'r', 'reichweite', 'sunshine', 'happy', 'life', 'food', 'idontlikerettichsomuch', 'animal', 'dog', 'car', 'ferrari', 'gucci', 'chart']"
0,"['keep', 'take', 'incremental', 'step', 'mondaymotivation', 'food', 'art']"
0,"['take', 'out', 'call', '423', '288', '1171', 'monday', 'delicious', 'popsfood', 'goodfood', 'food', 'kingsport', 'bloomingdale', 'tennessee']"
0,"['take', 'kenya', 'october', 'amana', 'market', 'csa', 'day', 'nairobi', 'connection', 'people', 'food', 'system', 'ho']"
0,"['good', 'food', 'equal', 'good', 'mood', 'foodie', 'life', 'happiness', 'eat', 'thisisme', 'meme', 'relatable', 'dinnertime']"
0,"['menudo', 'breakfast', 'breakfastrecipes', 'foodie', 'food', 'elgordofoodieapproved']"
0,"['well', 'food', 'production', 'lead', 'well', 'nutrition', 'a', 'well', 'environment', 'amp', 'a', 'well', 'life', 'learn', 'our']"
0,"['interest', 'validates', 'fabulous', 'work', 'draseemmalhotra', 'carbohydrate', 'fat', 'diet', 'diabetes', 'food']"
0,"['kinda', 'favorite', 'food', 'moment', 'love', 'muuuuuccchhh', 'food', 'foodlover']"
0,"['scaleupdays', 'restaurant', 'food', 'business', 'follow', 'eatance', 'app', 'update']"
0,"['virtual', 'water', 'trade', 'food', 'mean', 'humanrights', 'obligation', 'trade', 'important', 'ever', 'add']"
0,"['can', 't', 'take', 'bacon', 'cheese', 'parmesan', 'food', 'foodie', 'tasty', 'yum', 'cheesy', 'cheese', 'pasta', 'italian']"
0,"['food', 'zucchini', 'ham', 'amp', 'cheesefry', 'zucchini', 'simmer', 'finger', 'water', 'ham', 'cheese', 'little', 'cayenne', 'pepper']"
